row,col,elevation_m,drainage_capacity_mm_hr
0,0,18.47,33.38
0,1,17.05,32.49
0,2,16.75,31.65
0,3,16.44,30.87
0,4,15.56,30.16
0,5,15.54,29.53
0,6,15.26,29.0
0,7,12.86,28.57
0,8,12.35,28.26
0,9,10.64,28.06
0,10,8.69,28.0
0,11,10.49,28.06
0,12,12.46,28.26
0,13,13.93,28.57
0,14,15.78,29.0
0,15,15.7,29.53
0,16,16.96,30.16
0,17,17.29,30.87
0,18,17.9,31.65
0,19,17.77,32.49
1,0,17.77,32.49
1,1,16.59,31.55
1,2,15.83,30.65
1,3,16.31,29.82
1,4,15.04,29.06
1,5,14.11,28.38
1,6,14.23,27.8
1,7,12.74,27.33
1,8,12.45,26.99
1,9,10.31,26.77
1,10,8.73,26.7
1,11,9.13,26.77
1,12,9.75,26.99
1,13,12.43,27.33
1,14,13.25,27.8
1,15,15.23,28.38
1,16,15.5,29.06
1,17,17.11,29.82
1,18,17.81,30.65
1,19,17.6,31.55
2,0,16.79,31.65
2,1,15.77,30.65
2,2,15.49,29.71
2,3,14.43,28.82
2,4,13.58,28.0
2,5,13.14,27.26
2,6,13.69,26.63
2,7,14.2,26.11
2,8,12.11,25.72
2,9,10.25,25.48
2,10,9.77,25.4
2,11,7.75,25.48
2,12,8.72,25.72
2,13,10.61,26.11
2,14,12.36,26.63
2,15,14.26,27.26
2,16,14.69,28.0
2,17,16.04,28.82
2,18,16.42,29.71
2,19,17.59,30.65
3,0,15.69,30.87
3,1,14.42,29.82
3,2,14.53,28.82
3,3,14.68,27.87
3,4,13.34,26.99
3,5,12.69,26.18
3,6,12.21,25.48
3,7,12.0,24.9
3,8,11.66,24.46
3,9,9.75,24.19
3,10,9.38,24.1
3,11,7.33,24.19
3,12,7.21,24.46
3,13,9.6,24.9
3,14,11.57,25.48
3,15,12.89,26.18
3,16,14.7,26.99
3,17,15.48,27.87
3,18,15.76,28.82
3,19,15.81,29.82
4,0,15.52,30.16
4,1,14.92,29.06
4,2,14.08,28.0
4,3,12.93,26.99
4,4,12.66,26.03
4,5,12.02,25.15
4,6,11.73,24.37
4,7,12.07,23.72
4,8,11.89,23.22
4,9,9.98,22.91
4,10,8.5,22.8
4,11,7.24,22.91
4,12,5.93,23.22
4,13,7.81,23.72
4,14,9.56,24.37
4,15,11.86,25.15
4,16,14.81,26.03
4,17,14.91,26.99
4,18,15.12,28.0
4,19,15.8,29.06
5,0,14.39,29.53
5,1,14.15,28.38
5,2,13.45,27.26
5,3,12.06,26.18
5,4,12.22,25.15
5,5,11.26,24.19
5,6,11.61,23.32
5,7,10.75,22.58
5,8,11.15,22.0
5,9,8.7,21.63
5,10,7.35,21.5
5,11,6.3,21.63
5,12,5.47,22.0
5,13,7.23,22.58
5,14,8.55,23.32
5,15,11.22,24.19
5,16,13.31,25.15
5,17,13.83,26.18
5,18,14.48,27.26
5,19,16.19,28.38
6,0,14.11,29.0
6,1,13.15,27.8
6,2,13.0,26.63
6,3,12.08,25.48
6,4,11.33,24.37
6,5,11.08,23.32
